Model,MAE,RMSE,MAPE,Horizon
CNN,1474.777617622847,2075.6003954364933,0.04266414678375151,1-Day
RNN,917.3170367116261,1312.656260699462,0.027266754432782654,1-Day
LSTM,926.376759197695,1356.666311335257,0.026600544366440753,1-Day
Transformer,28840.458414466182,31629.922140070943,0.817686100901563,1-Day
CNN,1699.1657263812328,2270.7693266258657,0.05295431180513203,3-Day
RNN,1188.0893732434408,1734.6422964808007,0.03357834319164085,3-Day
LSTM,1195.3283818117634,1729.1876233749317,0.034880532911772656,3-Day
Transformer,28799.075866182702,31575.84254299693,0.817312496490806,3-Day
CNN,2109.716865069331,3095.4546062821883,0.05921732118921313,7-Day
RNN,1558.4629420940128,2352.5837416029926,0.04433835295631613,7-Day
LSTM,1765.435425299591,2494.5488946739097,0.052615769732186284,7-Day
Transformer,28749.35975467803,31502.62592170104,0.8175796985214363,7-Day
